pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)               |                        __up_write_unlock() {
 0)   0.459 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.791 us    |                        }
 0) + 13.167 us   |                      }
 0) + 16.459 us   |                    }
 0) + 52.750 us   |                  }
 0)   0.458 us    |                  unlink_anon_vmas();
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.459 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.750 us    |                        }
 0) + 13.000 us   |                      }
 0) + 16.042 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.459 us    |                      rt_spin_lock();
 0)   1.458 us    |                      vma_interval_tree_remove();
 0)   0.500 us    |                      rt_spin_unlock();
 0) + 10.583 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.500 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   6.667 us    |                        }
 0) + 13.166 us   |                      }
 0) + 16.000 us   |                    }
 0) + 51.125 us   |                  }
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.500 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.458 us    |                          preempt_count_sub();
 0)   9.584 us    |                        }
 0) + 12.875 us   |                      }
 0) + 16.209 us   |                    }
 0)   0.875 us    |                    anon_vma_interval_tree_remove();
 0)   0.583 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.791 us    |                        }
 0) + 13.208 us   |                      }
 0) + 16.042 us   |                    }
 0) + 45.291 us   |                  }
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.500 us    |                          __rt_mutex_lock_state();
 0)   0.458 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.666 us    |                        }
 0) + 12.959 us   |                      }
 0) + 16.000 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.458 us    |                      rt_spin_lock();
 0)   1.167 us    |                      vma_interval_tree_remove();
 0)   0.458 us    |                      rt_spin_unlock();
 0) + 11.833 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.541 us    |                          __rt_mutex_unlock();
 0)   6.708 us    |                        }
 0) + 12.958 us   |                      }
 0) + 16.000 us   |                    }
 0) + 52.375 us   |                  }
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.708 us    |                        }
 0) + 13.042 us   |                      }
 0) + 16.083 us   |                    }
 0)   0.584 us    |                    anon_vma_interval_tree_remove();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
