,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27276,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2444,182903.353352
27277,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2444,182903.353353
27278,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2444,182903.353354
27279,update_curr_rt,000,null,d,null,null,put_prev_task_rt,2,pi_stress-2444,182903.353355
27280,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2444,182903.353357
27281,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2444,182903.353358
27282,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2444,182903.353359
27283,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2444,182903.35336
27284,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2444,182903.353361
27285,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2444,182903.353362
27286,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2444,182903.353364
27287,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2443,182903.353365
27288,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2443,182903.353366
27289,drop_futex_key_refs,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353368
27290,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2443,182903.35337
27291,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2443,182903.353372
27292,futex_wake,000,null,null,null,null,do_futex,null,pi_stress-2443,182903.353373
27293,get_futex_key,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353374
27294,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2443,182903.353375
27295,hash_futex,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353376
27296,rt_spin_lock,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353377
27297,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353378
27298,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-2443,182903.35338
27299,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-2443,182903.353381
27300,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353382
27301,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-2443,182903.353383
27302,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-2443,182903.353384
27303,rt_spin_unlock,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353385
27304,__wake_up_q,000,null,null,null,null,futex_wake,null,pi_stress-2443,182903.353387
27305,try_to_wake_up,000,null,null,null,null,__wake_up_q,null,pi_stress-2443,182903.353388
27306,preempt_count_add,000,null,d,null,null,try_to_wake_up,null,pi_stress-2443,182903.353389
27307,preempt_count_add,000,null,d,null,null,try_to_wake_up,1,pi_stress-2443,182903.35339
27308,update_rq_clock,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353391
27309,activate_task,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353393
27310,enqueue_task_rt,000,null,d,null,null,activate_task,2,pi_stress-2443,182903.353394
27311,dequeue_rt_stack,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.353395
27312,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2443,182903.353396
27313,preempt_count_add,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.353397
27314,preempt_count_sub,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2443,182903.353399
27315,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2443,182903.3534
27316,check_preempt_curr,000,null,d,null,null,try_to_wake_up,2,pi_stress-2443,182903.353401
27317,check_preempt_curr_rt,000,null,d,null,null,check_preempt_curr,2,pi_stress-2443,182903.353402
