,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
6719,update_curr_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2426,182888.907682
6720,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,2,pi_stress-2426,182888.907683
6721,update_curr_rt,000,null,d,null,null,put_prev_task_rt,2,pi_stress-2426,182888.907684
6722,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.907686
6723,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2426,182888.907687
6724,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2426,182888.907689
6725,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2426,182888.90769
6726,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2426,182888.907691
6727,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2426,182888.907692
6728,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2426,182888.907693
6729,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2425,182888.907694
6730,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2425,182888.907696
6731,drop_futex_key_refs,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907697
6732,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2425,182888.9077
6733,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2425,182888.907701
6734,futex_wake,000,null,null,null,null,do_futex,null,pi_stress-2425,182888.907702
6735,get_futex_key,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907704
6736,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2425,182888.907705
6737,hash_futex,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907706
6738,rt_spin_lock,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907707
6739,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907708
6740,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-2425,182888.907709
6741,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-2425,182888.90771
6742,rt_spin_unlock,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907712
6743,__wake_up_q,000,null,null,null,null,futex_wake,null,pi_stress-2425,182888.907713
6744,try_to_wake_up,000,null,null,null,null,__wake_up_q,null,pi_stress-2425,182888.907714
6745,preempt_count_add,000,null,d,null,null,try_to_wake_up,null,pi_stress-2425,182888.907715
6746,preempt_count_add,000,null,d,null,null,try_to_wake_up,1,pi_stress-2425,182888.907716
6747,update_rq_clock,000,null,d,null,null,try_to_wake_up,2,pi_stress-2425,182888.907717
6748,activate_task,000,null,d,null,null,try_to_wake_up,2,pi_stress-2425,182888.907719
6749,enqueue_task_rt,000,null,d,null,null,activate_task,2,pi_stress-2425,182888.90772
6750,dequeue_rt_stack,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2425,182888.907721
6751,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2425,182888.907722
