,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
3428,pick_next_task_dl,000,null,d,null,null,__schedule,null,pi_stress-1199,638.909356
3429,pick_next_task_rt,000,null,d,null,null,__schedule,null,pi_stress-1199,638.909359
3430,update_curr_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1199,638.909362
3431,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1199,638.909365
3432,update_curr_rt,000,null,d,null,null,put_prev_task_rt,null,pi_stress-1199,638.909368
3433,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1199,638.909372
3434,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1199,638.909376
3435,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1199,638.909378
3436,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1199,638.909381
3437,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1198,638.909385
3438,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1198,638.909392
3439,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-1198,638.909395
3440,futex_wake,000,null,null,null,null,do_futex,null,pi_stress-1198,638.909397
3441,get_futex_key,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.909401
