# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222900
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.00%  kworker/0:0:32281 [120] t ==> sshd:32358 [120]
     0.00%  kworker/0:0:32281 [120] t ==> wicd-monitor:990 [120]
     0.00%  kworker/u2:2:32364 [120] t ==> .koworker:1014 [120]
     0.00%  kworker/u2:2:32364 [120] t ==> bash:32372 [120]
     0.00%  kworker/u2:2:32364 [120] t ==> ls:32378 [120]
     0.00%  kworker/u2:2:32364 [120] t ==> sshd:32368 [120]
     0.00%  ls:32378 [120] S ==> cyclictest:32352 [120]
     0.00%  mesg:32375 [120] R ==> cyclictest:32353 [0]
     0.00%  perf:32349 [120] R ==> mmcqd/1:89 [120]
     0.00%  perf:32349 [120] S ==> sshd:27636 [120]
     0.00%  sshd:19316 [120] S ==> .koworker:1016 [120]
     0.00%  sshd:27636 [120] S ==> bash:32372 [120]
     0.00%  sshd:27636 [120] S ==> wicd-monitor:990 [120]
     0.00%  sshd:32358 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32367 [120] R ==> sshd:32370 [120]
     0.00%  sshd:32370 [120] R ==> cyclictest:32352 [120]
     0.00%  sshd:740 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  systemd-journal:118 [120] R ==> kworker/0:0:32281 [120]
     0.00%  avahi-daemon:500 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  bash:32372 [120] R ==> kworker/0:0:32281 [120]
     0.00%  cron:32383 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32357 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32362 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32371 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32376 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32389 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32390 [120]
     0.00%  cyclictest:32353 [0] S ==> sshd:19316 [120]
     0.00%  id:32374 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32365 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32366 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32371 [120] R ==> cyclictest:32353 [0]
     0.00%  jbd2/mmcblk1p2-:97 [120] S ==> perf:32349 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> .koworker:32385 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> .koworker:32386 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> mesg:32375 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> mmcqd/1:89 [120]
     0.00%  kworker/0:0:32281 [120] R ==> irq/31-44e0b000:90 [49]
     0.00%  kworker/0:0:32281 [120] t ==> bash:32372 [120]
     0.00%  kworker/0:0:32281 [120] t ==> ps:32388 [120]
     0.00%  ls:32378 [120] S ==> ls:32381 [120]
     0.00%  ps:32388 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:32360 [120] R ==> cyclictest:32352 [120]
     0.00%  sshd:32368 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32368 [120] S ==> ls:32377 [120]
     0.00%  wicd:984 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  wicd:984 [120] S ==> .koworker:1019 [120]
     0.00%  .koworker:32385 [120] R ==> cyclictest:32352 [120]
     0.00%  .koworker:32385 [120] R ==> kworker/0:0:32281 [120]
     0.00%  .koworker:32386 [120] R ==> cyclictest:32353 [0]
     0.00%  bash:32372 [120] R ==> kworker/u2:2:32364 [120]
     0.00%  bash:32373 [120] R ==> cyclictest:32353 [0]
     0.00%  cyclictest:32353 [0] S ==> bash:32373 [120]
     0.00%  cyclictest:32353 [0] S ==> cron:32384 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32361 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32363 [120]
     0.00%  cyclictest:32353 [0] S ==> ls:32380 [120]
     0.00%  cyclictest:32353 [0] S ==> nohup:32385 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32359 [120]
     0.00%  ifconfig:32361 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32376 [120] R ==> cyclictest:32353 [0]
     0.00%  ksoftirqd/0:7 [120] S ==> .koworker:32387 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sudo:32351 [120]
     0.00%  kworker/0:0:32281 [120] t ==> avahi-daemon:500 [120]
     0.00%  kworker/0:0:32281 [120] t ==> sshd:32360 [120]
     0.00%  kworker/0:0:32281 [120] t ==> sshd:32368 [120]
     0.00%  ls:32378 [120] S ==> sshd:32368 [120]
     0.00%  ls:32379 [120] S ==> ls:32377 [120]
     0.00%  ls:32379 [120] S ==> ls:32378 [120]
     0.00%  perf:32349 [120] D ==> .koworker:1019 [120]
     0.00%  sshd:19316 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  sshd:27636 [120] S ==> sshd:32369 [120]
     0.00%  sshd:27636 [120] S ==> systemd-journal:118 [120]
     0.00%  sshd:32355 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32360 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:32368 [120] S ==> .koworker:1016 [120]
     0.00%  wicd-monitor:990 [120] R ==> cyclictest:32352 [120]
     0.00%  .koworker:1019 [120] R ==> sudo:32351 [120]
     0.00%  .koworker:32386 [120] S ==> .koworker:32387 [120]
     0.00%  .koworker:32387 [120] S ==> .koworker:32386 [120]
     0.00%  apache2:808 [120] S ==> cyclictest:32352 [120]
     0.00%  cyclictest:32352 [120] S ==> .koworker:1016 [120]
     0.00%  cyclictest:32353 [0] S ==> id:32374 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32365 [120]
     0.00%  cyclictest:32353 [0] S ==> kworker/0:1H:96 [100]
     0.00%  cyclictest:32353 [0] S ==> sh:32384 [120]
     0.00%  ifconfig:32361 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  ifconfig:32376 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  ifconfig:32390 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  irq/31-44e0b000:90 [49] S ==> ksoftirqd/0:7 [120]
     0.00%  jbd2/mmcblk1p2-:97 [120] D ==> kworker/0:1H:96 [100]
     0.00%  ksoftirqd/0:7 [120] S ==> dbus-daemon:518 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> rs:main Q:Reg:626 [120]
     0.00%  kworker/0:0:32281 [120] t ==> sshd:32355 [120]
     0.00%  kworker/0:0:32281 [120] t ==> systemd-journal:118 [120]
     0.00%  ls:32381 [120] R ==> ls:32378 [120]
     0.00%  mmcqd/1:89 [120] D ==> .koworker:1016 [120]
     0.00%  nohup:32385 [120] R ==> cyclictest:32353 [0]
     0.00%  ptp0:1120 [120] S ==> kworker/u2:1:27770 [120]
     0.00%  sh:32384 [120] R ==> cyclictest:32353 [0]
     0.00%  sshd:27636 [120] S ==> ls:32378 [120]
     0.00%  sshd:32367 [120] S ==> .koworker:1016 [120]
     0.00%  sshd:32370 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sudo:32351 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sudo:32351 [120] R ==> kworker/0:0:32281 [120]
     0.00%  systemd-journal:118 [120] S ==> .koworker:1016 [120]
     0.00%  wicd:984 [120] S ==> .koworker:1016 [120]
     0.00%  .koworker:1014 [120] S ==> .koworker:32385 [120]
     0.00%  .koworker:1014 [120] S ==> cron:32383 [120]
     0.00%  .koworker:1014 [120] S ==> kworker/0:0:32281 [120]
     0.00%  .koworker:1016 [120] R ==> irq/31-44e0b000:90 [49]
     0.00%  .koworker:1019 [120] R ==> irq/31-44e0b000:90 [49]
     0.00%  .koworker:32385 [120] R ==> .koworker:32387 [120]
