# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222876
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.00%  sshd:32228 [120] R ==> cyclictest:32204 [120]
     0.00%  sshd:32230 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  wicd:32232 [120] R ==> cyclictest:32205 [0]
     0.00%  .koworker:1014 [120] S ==> kworker/0:1:32113 [120]
     0.00%  .koworker:1016 [120] R ==> avahi-daemon:500 [120]
     0.00%  cyclictest:32204 [120] S ==> kworker/0:1:32113 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32206 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32208 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32218 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32220 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32221 [120]
     0.00%  dbus-daemon:518 [120] R ==> kworker/0:1:32113 [120]
     0.00%  ifconfig:32207 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32208 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32237 [120] R ==> cyclictest:32205 [0]
     0.00%  kworker/0:1:32113 [120] D ==> perf:32202 [120]
     0.00%  kworker/0:1:32113 [120] t ==> dbus-daemon:518 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32229 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32235 [120]
     0.00%  mmcqd/1:89 [120] D ==> .koworker:1019 [120]
     0.00%  perf:32202 [120] S ==> .koworker:1014 [120]
     0.00%  ps:32216 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:19316 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:19316 [120] S ==> sshd:27636 [120]
     0.00%  sshd:32209 [120] R ==> sshd:32210 [120]
     0.00%  sshd:32233 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32233 [120] R ==> sshd:32234 [120]
     0.00%  sshd:740 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  sudo:32203 [120] R ==> kworker/0:1:32113 [120]
     0.00%  wicd:32222 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:984 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  .koworker:1014 [120] S ==> .koworker:32213 [120]
     0.00%  cyclictest:32204 [120] S ==> sshd:19316 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32207 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32221 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32222 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32225 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32206 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32237 [120]
     0.00%  ifconfig:32218 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32219 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32220 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32221 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32222 [120] R ==> cyclictest:32205 [0]
     0.00%  jbd2/mmcblk1p2-:97 [120] S ==> perf:32202 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> ifconfig:32237 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> mmcqd/1:89 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32231 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sudo:32203 [120]
     0.00%  kworker/0:1:32113 [120] D ==> sshd:27636 [120]
     0.00%  kworker/0:1:32113 [120] R ==> irq/31-44e0b000:90 [49]
     0.00%  perf:32202 [120] R ==> mmcqd/1:89 [120]
     0.00%  ps:32216 [120] R ==> .koworker:32214 [120]
     0.00%  ps:32216 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:19316 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  sshd:27636 [120] S ==> perf:32202 [120]
     0.00%  sshd:32228 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32231 [120] S ==> sshd:32230 [120]
     0.00%  systemd-journal:118 [120] R ==> rsyslogd:627 [120]
     0.00%  .koworker:1014 [120] S ==> ps:32216 [120]
     0.00%  .koworker:1016 [120] R ==> sudo:32203 [120]
     0.00%  .koworker:1019 [120] R ==> avahi-daemon:500 [120]
     0.00%  avahi-daemon:500 [120] S ==> cyclictest:32204 [120]
     0.00%  avahi-daemon:500 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  cyclictest:32204 [120] S ==> .koworker:1019 [120]
     0.00%  cyclictest:32205 [0] S ==> nohup:32213 [120]
     0.00%  cyclictest:32205 [0] S ==> sh:32212 [120]
     0.00%  ifconfig:32217 [120] R ==> cyclictest:32205 [0]
     0.00%  ifconfig:32220 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  ifconfig:32225 [120] R ==> cyclictest:32205 [0]
     0.00%  ksoftirqd/0:7 [120] S ==> .koworker:32214 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> .koworker:32215 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32230 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32235 [120]
     0.00%  kworker/0:1:32113 [120] D ==> .koworker:1014 [120]
     0.00%  kworker/0:1:32113 [120] D ==> kworker/u2:1:27770 [120]
     0.00%  kworker/u2:1:27770 [120] t ==> ptp0:1120 [120]
     0.00%  kworker/u2:1:27770 [120] t ==> systemd-journal:118 [120]
